flag	grade	evidence	checked	declared_in
--abl-crops	ok		2026-09-04	scripts/diag_layer_map.py
--accum	ok		2026-09-04	scripts/check_run_registry.py,tinylm/cli.py
--all	ok		2026-09-04	scripts/check_handoff.py,scripts/diag_cache.py,scripts/fetch_bench_data.py,scripts/plot_results.py
--all-pairs	ok		2026-09-04	scripts/paired_join.py
--allow-renumber	ok		2026-09-04	scripts/rename_result.py
--alpha	ok		2026-09-04	scripts/diag_kd_loss.py
--anneal-end	ok		2026-09-04	tinylm/cli.py
--anneal-shape	ok		2026-09-04	tinylm/cli.py
--anneal-start	ok		2026-09-04	tinylm/cli.py
--apply	ok		2026-09-04	scripts/append_repro.py,scripts/ckpt_audit.py,scripts/label_val_unseen_relations.py,scripts/rename_result.py,scripts/sync_experiments_tsv.py
--arch	ok		2026-09-04	scripts/common_bpb.py,scripts/diag_alpha_group.py,scripts/diag_fp8_precision.py,scripts/diag_val_docs.py,scripts/eval_slices.py,tinylm/cli.py
--arena-end	ok		2026-09-04	tinylm/cli.py
--arena-lambda	ok		2026-09-04	tinylm/cli.py
--arenas	ok		2026-09-04	tinylm/cli.py
--artifact	ok		2026-09-04	scripts/wip.py
--attn-group	ok		2026-09-04	scripts/diag_depth_init.py,tinylm/cli.py
--audit	ok		2026-09-04	scripts/queue_menu.py
--backfill	ok		2026-09-04	scripts/registry.py
--base	ok		2026-09-04	scripts/diag_visit_selectivity.py
--bat	ok		2026-09-04	scripts/check_eval_pool.py
--batch	ok		2026-09-04	scripts/diag_lut_kernel.py
--batches	ok		2026-09-04	scripts/diag_trapping.py
--bench	ok		2026-09-04	scripts/diag_bench_tokens.py,scripts/label_heldout_controlled.py
--block	ok		2026-09-04	scripts/diag_train_repeat.py,scripts/wip.py
--both-cache	ok		2026-09-04	scripts/bench_infer.py
--bs	ok		2026-09-04	scripts/diag_depth_init.py,scripts/diag_gqa_equiv.py,scripts/diag_kd_loss.py,scripts/diag_sdpa_backends.py,scripts/diag_train_repeat.py
--build	ok		2026-09-04	scripts/queue_menu.py
--cache	ok		2026-09-04	scripts/diag_common_text.py
--ce-chunk	ok		2026-09-04	scripts/common_bpb.py,tinylm/cli.py
--center-weights	ok		2026-09-04	tinylm/cli.py
--check	ok		2026-09-04	scripts/label_val_unseen_relations.py,scripts/wandb_sync.py
--check-cache	ok		2026-09-04	scripts/bench_infer.py,scripts/probe_prompts.py,tinylm/cli.py
--ckpt	ok		2026-09-04	scripts/diag_layer_gates.py,scripts/diag_lrm_values.py,scripts/diag_lut_kernel.py,scripts/diag_vocab.py
--ckpt-path	ok		2026-09-04	tinylm/cli.py
--ckpt-tokens	ok		2026-09-04	scripts/diag_val_docs.py
--cla-group	ok		2026-09-04	tinylm/cli.py
--close	ok		2026-09-04	scripts/wip.py
--compile	ok		2026-09-04	tinylm/cli.py
--compile-mode	ok		2026-09-04	tinylm/cli.py
--corr	ok		2026-09-04	scripts/paired_join.py
--cpu-baseline	ok		2026-09-04	scripts/bench_infer.py
--cpu-ext-limit	ok		2026-09-04	scripts/bench_infer.py
--cpu-ext-retry	ok		2026-09-04	scripts/bench_infer.py
--cpu-watch	ok		2026-09-04	scripts/bench_infer.py
--crops	ok		2026-09-04	scripts/diag_repeat_attn_sim.py,scripts/diag_visit_selectivity.py,scripts/eval_slices.py,scripts/paired_join.py
